ticker
BBCA.JK
BBRI.JK
BMRI.JK
BBNI.JK
TLKM.JK
ASII.JK
ICBP.JK
INDF.JK
UNVR.JK
ADRO.JK
ANTM.JK
PGAS.JK
PTBA.JK
SMGR.JK
TINS.JK
MDKA.JK
EXCL.JK
CPIN.JK
INCO.JK
AKRA.JK
